country_id,Year,Date,City,AQI,PM2.5 (µg/m³),PM10 (µg/m³),NO2 (ppb),SO2 (ppb),CO (ppm),O3 (ppb),Temperature (°C),Humidity (%),Wind Speed (m/s)
3,2024,14/01/2024,Beijing,197,136.4,176.2,39.5,16.4,4.2,64.9,17.6,20,13.1
2,2024,14/01/2024,London,75,68,133.1,77.7,48.7,6.89,100.3,9.7,51,14
1,2024,14/01/2024,Los Angeles,262,91.6,23.6,31.4,9.4,9.87,56.1,39.4,42,12.4
1,2024,14/01/2024,New York,217,26.4,277.3,33.2,21.3,6.79,94.1,25.5,62,14.7
4,2024,14/01/2024,Delhi,192,160.5,218.1,33.8,13.1,4.17,75.3,15.6,58,12
8,2024,15/01/2024,São Paulo,247,147.7,73,81.6,48.4,7.12,84.2,34.1,40,13.1
7,2024,15/01/2024,Sydney,199,212.5,176.1,54,10.6,0.35,141.2,-4.9,37,0.5
6,2024,15/01/2024,Tokyo,215,19.3,107.1,98.6,18.5,6.45,10.1,21.5,25,5.9
5,2024,15/01/2024,Paris,212,36.4,225.5,49.3,37.6,4.66,122.7,7.8,51,5.2
9,2024,15/01/2024,Cairo,245,182.9,234.6,84.2,7.2,9.16,52.4,-0.6,65,14.9
3,2024,15/01/2024,Beijing,127,43.4,132.4,8.8,10.7,2.31,87.8,24.2,12,9.7
2,2024,15/01/2024,London,84,122.5,62.1,48.2,21.6,8.91,67.3,-6.1,58,12.5
1,2024,15/01/2024,Los Angeles,157,160.1,166.5,18.9,40.7,2.97,122.1,37.4,86,9.3
1,2024,15/01/2024,New York,184,209.8,115.1,32,30.9,6.82,110.5,36,88,1.4
4,2024,15/01/2024,Delhi,276,132.9,174.4,37.9,12.5,0.73,167.5,6.6,28,5.4
9,2024,16/01/2024,Cairo,151,113.5,109.7,40.8,12.5,1.85,143.5,14.5,36,14.8
8,2024,16/01/2024,São Paulo,100,104.8,218.5,5.6,12.9,8.34,195.5,39.3,76,8.5
7,2024,16/01/2024,Sydney,160,136.1,195.6,99.2,10.8,2.42,86.8,30.1,84,1.1
6,2024,16/01/2024,Tokyo,160,211.6,133.1,45,16.4,8.74,185.9,1,25,4.9
5,2024,16/01/2024,Paris,41,75.4,158,48.7,12.9,8.63,43,-4.4,33,5.4
4,2024,16/01/2024,Delhi,269,135.5,218.9,83.2,11.1,9.19,40.1,-7.4,83,2.4
2,2024,16/01/2024,London,213,144.1,260.4,65.5,35.1,2.5,29.9,-5.3,66,13.7
1,2024,16/01/2024,Los Angeles,38,160.3,144.6,56.1,19.6,6.82,62.1,14.1,31,5.4
1,2024,16/01/2024,New York,284,64.8,136.7,26.8,15.7,6.59,165,38,21,14.9
3,2024,16/01/2024,Beijing,227,202.5,182.8,23.6,40.8,8.59,119.9,30.9,81,13.4
6,2024,17/01/2024,Tokyo,35,107.3,286,9.9,5.2,1.78,142.8,36.2,23,14.1
8,2024,17/01/2024,São Paulo,143,219.7,142.9,73,10.8,1.65,36.3,9.1,45,4.6
7,2024,17/01/2024,Sydney,62,220.3,294.9,51.7,2.7,1.54,64.6,22.9,34,9.5
5,2024,17/01/2024,Paris,289,204.8,267.5,67.9,2.4,7.93,135.1,7.9,11,8
9,2024,17/01/2024,Cairo,117,19.9,126.9,24.3,38.2,3.71,40.5,12.3,63,4.5
3,2024,17/01/2024,Beijing,111,201,25.6,65.3,25.3,0.54,196.6,-7.2,90,3.5
1,2024,17/01/2024,New York,146,152,61.4,95.6,26.9,5.9,126.3,-8.9,70,0.8
4,2024,17/01/2024,Delhi,139,137.4,118,91.4,49.8,1.69,69.1,32.6,61,0.7
2,2024,17/01/2024,London,101,95.8,66,8,24.6,4.01,147.9,18.1,42,3.1
1,2024,17/01/2024,Los Angeles,145,20.6,138,49.6,28.8,8.44,10.6,38.1,10,14
8,2024,18/01/2024,São Paulo,186,36.9,91.9,60.7,49,6.81,60.5,19.9,61,3.4
7,2024,18/01/2024,Sydney,258,116.8,185.2,58.9,16.1,1.22,88.5,10.3,25,9.7
6,2024,18/01/2024,Tokyo,205,72.8,208.9,41.3,38.3,6.47,71,10.9,22,12.2
5,2024,18/01/2024,Paris,184,234.1,229.6,28.1,13,6.83,168.8,38,78,13.5
9,2024,18/01/2024,Cairo,193,54.8,257,91.6,38.3,5.95,118.2,0.6,90,1.1
3,2024,18/01/2024,Beijing,181,222.1,30.9,71.1,37.3,2.98,191,32,46,3.2
2,2024,18/01/2024,London,201,49.1,290.9,76.5,41.2,1.32,193,-9.4,43,3.1
1,2024,18/01/2024,Los Angeles,117,156.2,41.2,38.4,16.7,5.55,71.9,20.9,63,5.2
1,2024,18/01/2024,New York,221,185.7,288.6,41.6,6.9,6.66,44.8,4.2,87,2.2
4,2024,18/01/2024,Delhi,282,132.2,239.4,23.7,45,9.89,109,4,61,2.9
9,2024,19/01/2024,Cairo,182,127.9,272.5,63.8,4.3,9.76,34.4,12.3,21,2.9
8,2024,19/01/2024,São Paulo,151,96.6,160,55.7,22.6,4.01,13.7,13.5,25,7.7
7,2024,19/01/2024,Sydney,157,75.7,290.9,8.5,12.1,3.34,96.5,10.4,66,13
6,2024,19/01/2024,Tokyo,278,67.8,212.9,40.4,41.4,3.6,105.1,-7,25,6.3
5,2024,19/01/2024,Paris,32,67.1,279.9,79.2,23.5,6.28,21.8,5.9,28,7.9
4,2024,19/01/2024,Delhi,158,218.5,124.2,85.9,36.3,2.31,87.5,38.4,23,9.1
2,2024,19/01/2024,London,147,220.7,206.5,19.5,21.3,8.15,48.3,10.4,27,10.6
1,2024,19/01/2024,New York,217,31.2,198.7,16.3,13.3,3.57,86.1,33.6,24,11.8
3,2024,19/01/2024,Beijing,149,243.8,269.9,27.8,5.8,5.26,100.3,-6.9,86,5.8
1,2024,19/01/2024,Los Angeles,75,62.7,121,46.7,46.3,2.38,41.3,-9.2,90,12.2
9,2024,20/01/2024,Cairo,38,142.8,73,89.7,3.1,0.57,74.8,24,17,4.6
5,2024,20/01/2024,Paris,185,42.4,233.1,98,4.2,4.26,48.8,11.8,17,11
8,2024,20/01/2024,São Paulo,117,178.2,21.7,9,36.5,7.89,186.3,20.7,72,2.7
7,2024,20/01/2024,Sydney,129,46.7,147.3,99.9,23,4.98,81.2,20,78,14.1
6,2024,20/01/2024,Tokyo,291,171.5,80.7,41.7,12.5,7.6,128.7,-0.9,83,1.9
4,2024,20/01/2024,Delhi,263,132.1,141.2,93.7,8.8,9.83,152.3,7.1,48,12.2
2,2024,20/01/2024,London,291,200.9,250.3,74.1,14,8.36,147.3,29.5,66,13.5
1,2024,20/01/2024,Los Angeles,65,177.4,31.9,69.2,5.7,9.29,19.4,9.4,55,2
1,2024,20/01/2024,New York,50,100.5,95.5,86.2,12.7,7.51,71.7,-3.9,59,14.3
3,2024,20/01/2024,Beijing,138,167.7,294,57,18.3,9,161.5,35.9,60,7.3
8,2024,21/01/2024,São Paulo,159,97.8,21.6,59.6,24.5,7.19,178.8,-7.7,15,1.3
7,2024,21/01/2024,Sydney,48,196.3,98.8,21.9,45.1,2.22,122.7,17.3,65,2.3
6,2024,21/01/2024,Tokyo,203,113,166.8,43.1,48.9,9.8,53.4,33.4,52,4.8
5,2024,21/01/2024,Paris,124,67.9,247.9,72.3,26.6,6.55,184.7,-3,57,12.4
9,2024,21/01/2024,Cairo,33,212,267.1,71.6,15.1,4.64,107.2,38.2,90,13.6
3,2024,21/01/2024,Beijing,174,38.3,140.2,66,47.8,4.26,189,34.3,85,6
2,2024,21/01/2024,London,204,55.9,277.9,34.4,33.1,9.08,132.5,5,23,12.3
1,2024,21/01/2024,Los Angeles,134,128.7,37.3,66.6,16.5,2.88,133.7,37,27,11.1
1,2024,21/01/2024,New York,202,102.5,146,99.1,44.9,7.53,192.8,29.6,38,13
4,2024,21/01/2024,Delhi,157,107.2,283.9,17,43.5,2.85,190.6,34.7,20,11.8
9,2024,22/01/2024,Cairo,68,224.5,127.8,16.5,39.4,1.74,186.6,9.7,89,4.8
8,2024,22/01/2024,São Paulo,122,123.8,170.3,81.7,36.4,2.75,183.7,-3.9,75,12.9
7,2024,22/01/2024,Sydney,174,8.4,284.7,77,48.5,5.95,19.1,17.1,11,10
6,2024,22/01/2024,Tokyo,43,46.1,183.8,39,48.4,2.91,40,5.7,32,3.2
5,2024,22/01/2024,Paris,192,216.6,264.9,51.2,18.6,7.93,197.1,14.3,80,12.2
4,2024,22/01/2024,Delhi,135,87.5,231.1,87.7,7.4,3.91,66.7,19.4,16,7.4
2,2024,22/01/2024,London,183,159.6,99.5,15.2,4.9,2.17,89.2,15.4,60,4.6
1,2024,22/01/2024,Los Angeles,192,171.4,58.7,39.5,27.5,4.3,58.5,16,72,1.8
1,2024,22/01/2024,New York,100,15,89.5,79.4,12,8.55,32.9,7.5,35,7
3,2024,22/01/2024,Beijing,173,174.3,126.6,52.3,17.9,7.17,103.6,-7.7,35,13
7,2024,23/01/2024,Sydney,30,94.3,51.2,16.2,40.9,6.42,64.8,14,55,6.4
9,2024,23/01/2024,Cairo,246,72.6,63.1,25.1,19.1,2.52,114.8,10,31,9.7
8,2024,23/01/2024,São Paulo,176,37.3,176.9,94.9,40.4,5.73,29.2,34,79,3.2
5,2024,23/01/2024,Paris,288,146.1,57.7,85.4,36.7,5.86,152.8,23.2,84,1.2
6,2024,23/01/2024,Tokyo,274,237,171.6,53.2,25.1,4.35,71.8,-1.7,69,13.8
3,2024,23/01/2024,Beijing,39,18.9,150.3,20.1,37,1.57,58.7,1.6,66,13.1
4,2024,23/01/2024,Delhi,260,128.2,274.7,65.4,3.6,2.45,38.5,39.2,90,12
2,2024,23/01/2024,London,159,24.1,108.2,33.4,37.3,4.9,64,-4.5,65,7.7
1,2024,23/01/2024,Los Angeles,266,207.2,231.1,30.1,25.9,1.65,170.5,27.3,17,0.8
1,2024,23/01/2024,New York,76,103.6,108.3,5.1,19.7,2.9,197.6,1.9,26,12.5
9,2024,24/01/2024,Cairo,71,9.1,15.2,65.7,40.5,5.06,26.2,33.8,22,5.3
8,2024,24/01/2024,São Paulo,252,122.2,214.8,73.6,47.5,6.23,56.2,-6.3,21,9.9
7,2024,24/01/2024,Sydney,78,240.1,12,67.4,4.4,4.81,170.9,28.1,89,11.6
6,2024,24/01/2024,Tokyo,181,85.2,238,39.5,18.7,0.86,50.8,-5.6,33,12.7
5,2024,24/01/2024,Paris,85,196.7,286.7,46.9,22.5,8.88,59.6,-9.7,35,2.2
4,2024,24/01/2024,Delhi,239,123.2,38,10.3,45.7,6.26,124.4,34.2,68,8.3
3,2024,24/01/2024,Beijing,281,18.2,183.3,63.6,35.9,5.76,20.4,-0.8,64,4.6
2,2024,24/01/2024,London,256,130.5,186.5,11.1,11.8,7.29,107.2,0.7,86,13.3
1,2024,24/01/2024,Los Angeles,200,57.4,156.9,28.2,3.8,4.26,147.5,19.2,29,11.3
1,2024,24/01/2024,New York,35,157.1,240.5,51.3,37.4,6.81,126.9,3.8,79,14
8,2024,25/01/2024,São Paulo,138,30.9,256.1,85.5,31.6,2.62,159.6,24.5,64,1.4
7,2024,25/01/2024,Sydney,227,240.6,152.6,77.7,40.9,6.53,77.5,-2.8,83,13.3
6,2024,25/01/2024,Tokyo,129,182.4,129.1,58.8,5.4,4.43,176.7,-0.9,61,7.9
5,2024,25/01/2024,Paris,193,119.7,15.5,22.9,11,9.66,178.4,35.5,29,8.8
9,2024,25/01/2024,Cairo,264,163,207.7,11.1,19.6,0.41,138,26.7,51,7
3,2024,25/01/2024,Beijing,253,244.6,156.7,98.2,49.3,3.46,148,29.7,16,13.9
2,2024,25/01/2024,London,95,160.3,194.1,5.3,21.3,3.11,165.3,36.2,44,12
1,2024,25/01/2024,Los Angeles,299,73.3,68.3,94.9,36.8,5.9,134.7,27.7,65,6.6
1,2024,25/01/2024,New York,110,205.7,18.4,36.1,47.6,7.48,41.8,-3.4,82,11.6
4,2024,25/01/2024,Delhi,107,43.8,221.4,67.8,21.9,7.3,159.2,35.5,18,2.2
8,2024,26/01/2024,São Paulo,133,109,50,89.1,15,3.89,148.5,18.6,75,4.1
7,2024,26/01/2024,Sydney,76,244.9,32.1,5.6,8,3.67,89.6,32.6,33,14.5
6,2024,26/01/2024,Tokyo,147,110,19,66.8,38,6.02,143.5,38.8,10,1.4
5,2024,26/01/2024,Paris,216,25,241.9,26,13.4,4.55,123.2,-2.5,77,7.5
9,2024,26/01/2024,Cairo,270,11,236.3,91.7,25.1,9.27,180.1,-1.6,23,9.9
3,2024,26/01/2024,Beijing,235,90.8,84.2,29,25.6,4.56,22.3,2.7,38,2.5
2,2024,26/01/2024,London,57,179.9,286.5,81.7,42.8,5.07,126.2,17.6,28,6.8
1,2024,26/01/2024,Los Angeles,287,163,290.4,26.2,15.9,9.48,112.8,11.9,17,9.5
1,2024,26/01/2024,New York,277,162.6,15.3,36.1,46,2.95,52.6,27.6,24,8.6
4,2024,26/01/2024,Delhi,267,116.1,270.7,57.8,5,3.26,51.4,36.7,69,5.7
9,2024,27/01/2024,Cairo,168,52.9,218.8,86.8,48.5,2.02,121.9,-7.9,87,13.1
8,2024,27/01/2024,São Paulo,122,40.9,131,73,29.4,6.4,182.2,26.1,24,11.1
7,2024,27/01/2024,Sydney,155,51.4,240.2,51.5,14.7,9.79,57.2,27.1,43,12.8
6,2024,27/01/2024,Tokyo,38,95.7,292.4,71.8,18.1,0.76,116.1,-1.2,77,1.9
5,2024,27/01/2024,Paris,174,26.2,47.8,60.4,20,2.06,116.8,2.9,85,12.4
4,2024,27/01/2024,Delhi,252,76.4,290.9,23.9,36.2,2.31,182.4,21.8,21,10.8
2,2024,27/01/2024,London,291,200.8,172,81.2,39.1,9.54,162.8,38.8,52,7.8
