country_id,Year,disease_id,Prevalence,Incidence,Mortality,Population Affected,Healthcare Access (%),Doctors per 1000,Hospital Beds per 1000,Recovery Rate (%),Improvement in 5 Years (%),Urbanization Rate (%)
3,2024,2.0,13.63,0.2,8.6,792480.0,85.64,0.73,6.35,91.15,5.72,56.78
3,2024,2.0,4.78,11.95,3.32,229710.0,87.5,0.81,4.43,90.06,2.22,26.81
3,2024,4.0,12.13,12.13,9.22,952122.0,52.11,4.84,4.06,89.64,1.74,84.6
3,2024,4.0,6.61,4.94,0.21,813497.0,86.7,2.15,1.83,91.41,0.3,71.67
3,2024,2.0,17.55,5.24,9.37,108129.0,92.85,1.14,9.77,73.06,1.13,35.98
3,2024,3.0,3.72,12.19,7.27,836264.0,83.59,2.59,7.77,78.4,9.3,79.91
3,2024,4.0,13.95,9.19,9.07,61732.0,79.11,2.26,3.98,89.03,6.69,37.08
3,2024,3.0,17.7,13.37,2.89,939742.0,74.4,0.75,3.73,78.69,1.5,67.38
3,2024,1.0,2.47,1.73,7.08,751882.0,92.78,2.3,7.18,77.92,3.5,86.68
3,2024,3.0,11.89,11.25,9.46,76293.0,76.6,3.54,9.38,97.32,2.17,61.04
3,2024,1.0,10.49,4.94,0.79,566481.0,67.5,3.93,2.39,67.13,2.18,38.39
3,2024,3.0,7.79,1.31,2.25,215916.0,84.87,3.54,8.96,61.16,8.95,46.32
3,2024,2.0,8.88,10.88,3.95,643425.0,60.16,2.57,2.77,66.4,4.19,28.61
3,2024,1.0,4.47,0.68,7.29,659847.0,96.84,3.8,7.97,62.14,2.91,22.04
3,2024,1.0,18.87,7.55,2.52,482161.0,85.97,2.56,6.0,53.06,6.91,48.7
3,2024,1.0,3.77,14.48,6.27,591421.0,62.03,4.02,4.29,68.65,8.28,56.13
3,2024,3.0,16.23,14.99,2.34,717213.0,71.01,2.88,6.11,94.3,6.87,70.32
3,2024,2.0,15.84,9.71,6.44,892738.0,65.14,4.34,8.25,60.44,2.15,81.69
3,2024,4.0,19.83,11.29,6.97,319785.0,83.49,4.75,3.04,70.64,5.98,67.71
3,2024,2.0,12.55,8.17,5.23,818953.0,57.48,3.05,7.25,98.14,2.14,26.02
3,2024,4.0,15.99,0.33,6.48,565596.0,97.35,2.97,8.17,51.28,3.21,26.98
3,2024,1.0,4.4,7.43,6.03,688842.0,58.51,2.37,2.93,54.54,9.32,72.43
3,2024,2.0,3.47,6.0,5.82,914695.0,97.73,4.45,9.46,92.29,4.09,75.81
3,2024,4.0,2.19,13.22,6.9,767980.0,94.26,0.83,3.15,58.78,6.82,67.17
3,2024,4.0,18.13,7.65,7.2,25568.0,85.37,4.01,7.28,92.69,7.45,21.8
3,2024,2.0,2.01,13.04,0.58,494218.0,56.1,3.41,3.23,86.99,4.11,30.43
3,2024,2.0,4.35,13.84,3.34,574079.0,99.01,1.02,4.78,64.33,3.22,78.49
3,2024,3.0,1.86,13.32,0.96,563944.0,77.73,1.19,5.28,67.55,6.81,40.06
3,2024,4.0,18.2,13.8,4.54,423465.0,63.54,4.13,1.19,85.99,5.24,72.73
3,2024,2.0,18.94,6.13,4.82,655144.0,76.8,1.82,7.52,51.67,1.34,70.76
3,2024,2.0,9.37,10.69,6.89,214949.0,67.37,1.25,2.31,91.03,1.54,57.34
3,2024,2.0,16.62,4.61,8.85,194801.0,72.08,3.23,3.22,70.62,1.32,75.93
3,2024,3.0,7.94,3.19,7.71,187672.0,61.93,0.74,3.03,84.54,3.54,61.56
3,2024,3.0,9.41,5.33,8.37,260740.0,63.48,1.76,6.67,67.28,2.17,35.67
3,2024,4.0,0.96,2.8,4.61,458876.0,97.88,3.42,6.16,89.7,4.18,45.14
3,2024,2.0,8.0,2.36,4.25,791907.0,91.02,3.23,4.82,97.32,9.17,38.44
3,2024,1.0,1.69,10.34,1.67,159886.0,72.53,2.67,7.98,88.83,5.66,55.21
3,2024,2.0,7.21,14.19,2.6,571740.0,87.86,3.02,2.17,58.79,5.77,21.91
3,2024,2.0,5.81,7.11,9.48,672693.0,65.99,2.6,3.81,75.85,3.89,41.31
3,2024,2.0,10.46,10.33,7.3,237438.0,87.95,2.37,9.8,73.85,4.97,31.94
3,2024,2.0,0.96,11.87,4.82,667399.0,99.95,4.97,8.66,93.85,7.75,32.8
3,2024,1.0,5.23,4.0,4.76,204557.0,55.35,1.02,2.23,78.23,1.75,59.16
3,2024,2.0,17.46,7.72,8.23,950353.0,83.06,1.18,9.53,60.25,2.26,88.33
4,2024,1.0,12.59,2.4,2.08,630715.0,75.58,3.0,9.09,89.32,1.9,49.83
4,2024,2.0,18.92,10.45,5.14,563162.0,57.33,3.11,8.22,76.74,4.04,55.67
4,2024,1.0,9.49,7.53,6.33,781040.0,61.69,3.39,8.51,62.4,2.16,28.61
4,2024,1.0,6.32,11.43,2.07,978268.0,69.99,4.47,3.94,79.47,4.34,60.23
4,2024,2.0,7.32,11.14,4.36,131132.0,63.79,3.22,5.97,81.72,8.91,28.45
4,2024,3.0,16.92,11.09,5.23,358959.0,79.51,1.2,9.77,52.94,1.97,42.8
4,2024,4.0,2.49,7.82,7.06,250817.0,75.72,2.31,8.96,89.63,2.88,62.5
4,2024,2.0,1.01,12.73,2.55,955735.0,98.61,4.97,2.98,73.97,4.31,47.35
4,2024,1.0,19.62,9.84,1.03,109205.0,78.28,2.2,6.32,77.44,1.72,26.97
4,2024,2.0,19.15,7.6,3.54,893572.0,59.36,1.8,6.7,78.47,1.42,36.44
4,2024,1.0,13.52,13.43,0.83,505948.0,57.37,1.41,6.77,82.42,5.02,48.69
4,2024,4.0,12.7,2.07,4.84,405317.0,60.23,2.47,2.36,77.86,8.74,87.93
4,2024,3.0,0.48,9.88,6.78,561546.0,67.1,0.83,1.84,75.23,7.77,25.76
4,2024,4.0,17.18,5.89,2.05,565106.0,70.84,3.17,1.03,58.11,2.55,87.07
4,2024,4.0,7.27,0.49,4.47,770892.0,71.77,0.81,8.28,52.09,6.11,53.85
4,2024,2.0,4.91,8.66,1.81,788381.0,57.7,1.29,2.9,72.73,4.83,36.57
4,2024,3.0,13.49,0.14,9.23,518089.0,79.85,3.06,1.96,81.13,6.08,65.36
4,2024,4.0,3.93,10.66,0.66,661602.0,87.65,1.28,5.1,88.89,9.85,65.01
4,2024,3.0,3.98,5.88,2.49,721885.0,56.64,4.28,0.79,90.55,6.44,80.27
4,2024,1.0,15.72,7.93,0.94,674726.0,97.45,4.69,2.85,78.07,4.33,43.24
4,2024,4.0,16.2,9.6,3.48,96194.0,53.79,1.38,2.15,64.36,3.49,87.27
4,2024,3.0,0.9,9.65,8.96,100300.0,78.28,1.79,9.51,78.31,2.32,49.51
4,2024,2.0,0.45,8.59,6.13,731651.0,90.48,0.82,5.41,54.97,9.78,41.2
4,2024,2.0,13.9,1.67,1.81,592299.0,66.99,2.15,4.48,80.16,7.08,65.38
4,2024,1.0,2.4,0.34,7.43,345541.0,58.98,2.05,8.46,82.52,7.61,61.34
4,2024,2.0,15.3,3.99,7.78,323388.0,50.49,0.58,2.26,86.64,7.17,74.3
4,2024,2.0,3.79,9.86,1.14,105507.0,72.66,3.93,6.12,94.14,4.44,37.03
4,2024,3.0,5.76,5.43,2.48,797187.0,52.51,4.31,2.57,78.16,0.94,24.6
4,2024,4.0,9.76,0.19,3.8,184415.0,67.68,4.49,2.88,80.31,4.8,78.08
4,2024,4.0,6.34,0.95,6.67,449302.0,64.98,3.6,6.87,82.21,5.92,75.51
4,2024,3.0,5.47,11.88,5.83,583477.0,51.34,1.59,8.67,85.26,1.75,44.59
4,2024,4.0,18.44,12.67,9.28,967883.0,94.62,1.21,4.92,59.99,4.86,29.66
4,2024,2.0,3.7,2.76,6.56,274753.0,97.95,0.99,3.17,81.85,6.56,57.09
4,2024,2.0,8.41,12.65,5.35,800321.0,89.89,3.76,3.69,57.5,1.74,64.95
4,2024,1.0,9.58,10.93,8.88,338727.0,60.62,3.23,6.43,82.23,0.31,44.77
4,2024,2.0,14.32,4.09,1.08,209969.0,87.71,4.17,4.05,86.16,0.21,86.31
4,2024,3.0,17.7,9.85,9.66,756813.0,81.56,0.8,9.09,83.61,8.19,20.72
4,2024,3.0,2.27,14.71,7.86,30833.0,56.09,4.8,8.67,82.0,9.61,34.27
4,2024,3.0,15.13,12.93,2.57,411127.0,91.82,1.45,5.96,76.02,4.96,37.23
4,2024,4.0,11.59,12.21,8.04,809254.0,84.15,2.96,4.44,50.54,7.76,81.42
4,2024,3.0,18.76,8.53,8.43,817328.0,79.56,0.95,4.28,94.8,4.34,60.39
4,2024,4.0,18.95,5.54,6.32,830762.0,77.02,2.19,7.3,76.26,9.13,65.63
4,2024,1.0,10.75,6.45,6.93,687476.0,84.23,3.63,5.11,81.06,6.23,75.17
4,2024,4.0,0.23,11.86,3.01,484628.0,82.72,3.37,4.41,52.49,6.72,71.93
4,2024,3.0,14.2,3.42,9.98,480129.0,75.85,3.17,6.85,74.27,6.15,50.29
4,2024,1.0,0.84,10.46,2.95,890191.0,59.56,3.59,7.36,54.23,7.54,38.9
4,2024,4.0,17.47,5.69,9.52,139094.0,98.84,0.7,8.21,95.24,0.63,72.14
4,2024,2.0,13.63,6.27,8.86,881501.0,52.23,2.83,4.26,69.35,7.65,70.13
4,2024,4.0,0.57,2.35,8.88,642687.0,57.2,3.75,8.59,87.03,3.17,55.2
4,2024,1.0,13.65,11.57,8.71,357557.0,65.83,3.98,3.65,88.36,2.75,66.33
4,2024,2.0,1.44,3.33,6.64,957673.0,99.99,2.94,6.55,55.38,3.68,29.04
4,2024,3.0,14.39,6.95,6.56,113275.0,85.55,2.0,2.16,53.1,5.04,88.41
4,2024,2.0,16.85,7.82,2.54,518114.0,68.27,2.35,1.1,85.76,9.41,28.56
4,2024,1.0,17.0,2.94,7.32,96818.0,92.72,3.5,8.74,65.83,3.83,31.67
4,2024,2.0,15.1,6.94,9.1,661616.0,59.91,4.13,6.0,91.84,9.26,29.79
4,2024,2.0,15.29,13.73,3.8,815616.0,68.86,3.12,1.24,92.79,7.31,44.9
4,2024,2.0,7.88,11.75,1.12,803924.0,76.01,1.38,9.43,78.08,0.27,61.45
4,2024,1.0,18.99,14.03,8.62,196645.0,64.51,1.71,1.62,60.92,6.04,70.05
4,2024,4.0,17.91,9.85,0.18,807657.0,91.07,1.97,3.54,94.78,5.8,20.89
4,2024,1.0,7.53,11.44,3.43,171581.0,60.18,2.91,1.08,84.59,7.55,77.85
4,2024,2.0,17.77,3.8,9.28,654008.0,93.37,4.46,7.08,66.1,7.86,88.4
4,2024,4.0,6.33,13.11,1.66,667870.0,71.42,2.9,1.49,71.93,2.54,50.45
4,2024,2.0,1.53,14.44,2.53,566298.0,69.26,4.94,5.96,69.74,3.73,20.25
4,2024,1.0,19.37,8.49,5.64,224454.0,81.75,1.59,5.83,80.41,8.62,62.56
4,2024,3.0,7.33,11.45,4.86,572239.0,63.5,3.69,5.98,55.66,1.12,59.87
4,2024,1.0,8.62,9.21,3.2,173409.0,81.62,2.31,3.01,60.95,7.09,60.19
4,2024,4.0,2.64,1.17,9.53,819946.0,88.32,0.77,1.53,91.91,5.74,63.07
4,2024,3.0,9.69,9.74,5.41,110158.0,59.56,4.87,4.11,51.91,2.91,60.51
4,2024,2.0,13.47,6.51,2.93,6901.0,61.81,2.22,7.17,91.88,9.06,77.94
4,2024,3.0,7.0,13.23,7.51,389039.0,76.89,2.11,0.96,79.93,3.47,55.52
4,2024,2.0,1.29,12.04,9.56,778858.0,60.42,4.71,3.27,75.5,6.99,57.52
5,2024,4.0,3.46,0.72,8.99,154641.0,88.17,1.43,4.48,83.93,5.12,38.76
5,2024,3.0,0.59,10.29,1.73,147175.0,69.47,3.88,4.02,52.8,2.79,53.63
5,2024,2.0,11.19,5.1,8.88,460857.0,92.48,3.24,8.67,96.0,2.19,54.15
5,2024,4.0,3.24,13.3,2.22,945077.0,92.45,0.78,6.54,69.83,9.2,45.08
