Country,Year,Disease,Disease Category,Prevalence,Incidence,Mortality,Population Affected,Healthcare Access (%),Doctors per 1000,Hospital Beds per 1000,Recovery Rate (%),Improvement in 5 Years (%),Urbanization Rate (%)
Argentina,2020,Asthma,Metabolic,11.2,3.91,9.32,580714.0,77.82,1.5,1.21,64.4,7.76,21.95
Canada,2020,Cancer,Neurological,17.32,0.55,5.73,563429.0,53.7,4.74,9.41,98.94,0.18,50.36
Italy,2020,Hypertension,Metabolic,16.18,3.4,6.76,93019.0,60.91,3.57,5.7,84.76,0.48,62.13
South Korea,2022,Asthma,Neurological,11.33,3.04,3.83,866747.0,90.51,4.66,4.5,79.09,0.78,82.86
Japan,2020,Diabetes,Viral,17.97,9.26,3.12,756660.0,71.39,1.72,1.39,58.41,1.29,79.97
Indonesia,2023,Cancer,Bacterial,16.3,10.39,1.26,665639.0,66.02,4.77,3.31,70.73,5.32,41.77
Russia,2020,Asthma,Cardiovascular,14.11,12.61,1.0,456609.0,54.13,2.6,6.9,60.78,4.8,54.61
India,2021,Diabetes,Neurological,0.2,8.18,0.81,63836.0,65.35,4.07,0.91,77.69,2.9,68.84
Japan,2022,Cancer,Autoimmune,12.92,8.14,9.12,734718.0,73.63,4.26,9.66,64.94,2.93,37.18
Japan,2023,Hypertension,Autoimmune,10.3,10.92,6.75,991953.0,76.18,1.33,8.0,95.44,0.45,77.94
Russia,2023,Hypertension,Autoimmune,6.99,6.8,1.26,761904.0,86.87,1.01,1.98,65.92,6.4,40.9
Canada,2020,Asthma,Genetic,19.77,12.62,5.86,497622.0,64.41,3.67,3.72,94.91,8.56,22.93
Saudi Arabia,2021,Asthma,Chronic,14.66,8.59,3.16,332626.0,73.45,2.95,0.75,76.66,3.16,79.17
Argentina,2020,Diabetes,Neurological,14.93,11.16,8.98,8633.0,67.92,3.8,3.86,94.09,7.62,39.94
USA,2021,Hypertension,Bacterial,3.57,6.12,4.72,265145.0,76.56,0.71,8.79,66.75,6.03,72.46
Argentina,2023,Hypertension,Metabolic,9.11,3.01,9.58,565767.0,91.96,0.82,1.17,56.56,6.56,56.01
Turkey,2020,Hypertension,Metabolic,17.62,4.82,3.75,912119.0,64.92,1.08,1.84,86.3,6.25,48.48
Canada,2024,Hypertension,Parasitic,16.15,10.88,6.84,990023.0,83.07,3.88,9.62,87.99,2.75,81.55
Japan,2022,Asthma,Parasitic,14.25,3.45,4.77,107721.0,74.91,2.87,7.67,93.73,6.23,47.08
Italy,2024,Asthma,Parasitic,8.74,4.14,2.3,813036.0,79.89,2.77,1.78,93.6,2.12,59.69
South Korea,2023,Hypertension,Genetic,12.82,2.56,8.02,369003.0,68.33,1.58,2.28,81.81,0.01,22.55
Mexico,2022,Hypertension,Metabolic,11.32,13.73,0.24,743526.0,96.73,3.8,9.35,58.34,6.31,30.4
Canada,2020,Asthma,Genetic,10.9,0.36,0.12,357094.0,98.58,4.03,8.43,92.32,2.93,40.93
Mexico,2020,Cancer,Infectious,18.26,7.23,7.56,417456.0,62.09,3.98,6.99,80.46,3.31,23.57
Russia,2020,Hypertension,Metabolic,0.74,8.54,8.37,693362.0,83.8,1.01,7.46,92.76,7.55,31.06
South Korea,2023,Hypertension,Infectious,16.98,12.41,9.54,594720.0,87.72,2.22,6.33,55.03,1.39,89.68
Nigeria,2024,Diabetes,Infectious,11.31,6.21,7.1,783426.0,64.69,3.74,4.24,97.95,4.26,46.81
South Korea,2020,Diabetes,Autoimmune,11.64,5.09,4.71,529945.0,74.28,2.07,4.39,57.92,9.64,25.19
South Korea,2023,Hypertension,Chronic,9.41,11.99,5.56,503549.0,71.83,4.57,3.38,92.56,7.95,89.83
Turkey,2024,Diabetes,Parasitic,16.3,3.57,4.21,151655.0,53.35,4.36,9.98,97.97,2.59,23.5
Australia,2022,Cancer,Cardiovascular,15.53,7.15,2.15,608534.0,54.92,4.93,1.12,61.39,4.25,32.83
Saudi Arabia,2020,Diabetes,Chronic,6.1,11.17,3.12,609040.0,89.27,1.72,1.36,79.52,0.1,48.06
South Korea,2023,Cancer,Metabolic,13.25,5.68,3.91,164296.0,53.98,1.01,6.6,77.75,7.86,77.51
Russia,2021,Hypertension,Infectious,13.74,14.74,9.56,96795.0,63.23,1.02,9.28,76.54,6.02,43.84
Germany,2022,Hypertension,Metabolic,12.04,12.69,0.13,319651.0,93.18,1.04,4.1,65.17,9.14,74.15
Japan,2022,Hypertension,Viral,2.64,6.62,3.55,906133.0,94.64,3.73,8.32,81.39,7.28,56.73
Australia,2022,Hypertension,Chronic,6.39,1.89,8.03,68048.0,64.46,4.01,4.11,98.82,8.33,80.51
Saudi Arabia,2022,Cancer,Parasitic,13.27,9.32,7.9,398409.0,80.36,4.47,7.18,54.68,5.88,58.97
Turkey,2020,Hypertension,Cardiovascular,6.77,12.53,0.72,445145.0,94.74,4.01,4.07,53.53,2.52,57.69
Russia,2024,Cancer,Cardiovascular,14.92,0.76,8.89,327565.0,82.0,2.24,4.99,84.97,8.52,72.07
India,2023,Cancer,Respiratory,8.77,8.7,4.25,91297.0,65.41,4.99,9.37,67.78,6.43,37.95
Canada,2021,Asthma,Bacterial,10.92,12.78,5.01,381436.0,89.34,4.31,0.68,89.2,1.1,79.9
Turkey,2023,Cancer,Infectious,13.25,14.23,5.16,337734.0,85.94,2.86,6.87,67.61,8.9,38.31
Turkey,2022,Hypertension,Parasitic,0.14,6.09,1.86,515663.0,97.39,4.58,7.27,79.65,8.38,29.95
Mexico,2021,Diabetes,Autoimmune,11.52,4.3,1.81,690959.0,76.23,2.05,4.44,94.62,4.71,24.65
Saudi Arabia,2023,Asthma,Infectious,16.66,4.16,1.64,832966.0,61.9,2.03,7.34,96.84,5.02,68.65
China,2021,Asthma,Infectious,8.58,12.06,2.27,432519.0,56.63,0.97,2.5,75.35,7.63,41.1
India,2020,Cancer,Parasitic,16.88,7.88,3.6,581883.0,56.91,2.01,5.13,50.41,5.66,89.48
India,2023,Diabetes,Parasitic,0.36,7.75,0.54,453814.0,53.27,2.21,8.27,74.85,4.61,44.24
UK,2023,Hypertension,Bacterial,0.83,9.87,5.08,931552.0,95.98,2.71,0.6,93.99,3.71,73.29
Argentina,2024,Asthma,Neurological,7.44,4.96,1.24,873229.0,50.11,2.63,7.7,70.6,2.8,54.14
USA,2020,Diabetes,Respiratory,8.83,2.79,8.58,536720.0,89.08,3.21,9.04,95.77,7.32,87.29
Germany,2020,Diabetes,Cardiovascular,14.31,2.3,7.91,375671.0,57.18,2.02,3.87,75.91,8.12,55.92
Japan,2023,Cancer,Chronic,4.31,9.71,6.07,428413.0,78.2,2.11,5.13,93.87,6.65,42.02
Mexico,2022,Diabetes,Viral,0.32,14.11,5.3,653030.0,62.95,3.67,7.07,80.31,3.79,64.18
India,2024,Cancer,Bacterial,9.49,7.53,6.33,781040.0,61.69,3.39,8.51,62.4,2.16,28.61
Saudi Arabia,2024,Diabetes,Chronic,14.88,12.96,2.61,968237.0,71.55,2.69,1.52,54.03,9.56,55.71
China,2022,Asthma,Infectious,4.0,14.72,7.71,912104.0,75.33,4.53,9.4,64.6,1.33,29.9
Germany,2021,Cancer,Cardiovascular,6.72,9.02,1.22,299716.0,64.87,2.92,6.59,87.7,8.03,75.22
Mexico,2020,Diabetes,Neurological,13.45,7.92,4.25,943750.0,72.53,0.76,7.47,56.5,4.27,84.45
China,2020,Asthma,Neurological,2.23,3.89,9.71,882952.0,88.35,0.91,3.43,95.51,5.0,67.27
