Date,City,Country,AQI,PM2.5 (µg/m³),PM10 (µg/m³),NO2 (ppb),SO2 (ppb),CO (ppm),O3 (ppb),Temperature (°C),Humidity (%),Wind Speed (m/s)
2024-01-13,São Paulo,Brazil,265.0,211.5,257.6,30.2,43.6,4.83,60.0,22.2,68.0,3.5
2024-01-13,Sydney,Australia,92.0,112.0,139.1,42.4,43.8,6.08,105.5,17.6,77.0,6.6
2024-01-13,Tokyo,Japan,114.0,156.8,14.8,60.2,40.2,6.23,174.4,22.7,40.0,1.1
2024-01-13,Paris,France,183.0,221.0,102.1,35.7,45.7,8.17,147.6,20.8,30.0,8.3
2024-01-13,Delhi,India,214.0,216.8,251.1,75.0,44.7,4.48,31.8,14.4,38.0,4.0
2024-01-13,Beijing,China,219.0,76.2,121.4,43.7,41.5,1.26,180.0,8.1,35.0,4.2
2024-01-13,London,UK,72.0,168.5,58.3,48.7,48.1,2.69,82.4,0.3,32.0,10.4
2024-01-13,Los Angeles,USA,289.0,69.5,137.3,33.4,20.1,1.18,21.3,35.9,90.0,13.9
2024-01-13,New York,USA,136.0,108.9,46.0,39.8,14.4,9.1,187.0,-3.2,45.0,8.9
2024-01-14,São Paulo,Brazil,265.0,83.1,228.5,51.2,31.7,8.95,97.5,34.7,58.0,8.6
2024-01-14,Sydney,Australia,124.0,244.0,268.8,76.7,34.5,1.87,138.2,39.7,33.0,6.4
2024-01-14,Tokyo,Japan,120.0,153.5,167.0,27.1,25.1,6.02,120.7,4.7,86.0,3.8
2024-01-14,Paris,France,160.0,242.9,76.7,75.8,36.1,4.87,112.2,19.8,73.0,8.3
2024-01-14,Cairo,Egypt,101.0,75.6,34.7,38.6,24.4,8.9,20.0,-2.4,29.0,13.6
2024-01-14,Beijing,China,197.0,136.4,176.2,39.5,16.4,4.2,64.9,17.6,20.0,13.1
2024-01-14,London,UK,75.0,68.0,133.1,77.7,48.7,6.89,100.3,9.7,51.0,14.0
2024-01-14,Los Angeles,USA,262.0,91.6,23.6,31.4,9.4,9.87,56.1,39.4,42.0,12.4
2024-01-14,New York,USA,217.0,26.4,277.3,33.2,21.3,6.79,94.1,25.5,62.0,14.7
2024-01-14,Delhi,India,192.0,160.5,218.1,33.8,13.1,4.17,75.3,15.6,58.0,12.0
2024-01-15,São Paulo,Brazil,247.0,147.7,73.0,81.6,48.4,7.12,84.2,34.1,40.0,13.1
2024-01-15,Sydney,Australia,199.0,212.5,176.1,54.0,10.6,0.35,141.2,-4.9,37.0,0.5
2024-01-15,Tokyo,Japan,215.0,19.3,107.1,98.6,18.5,6.45,10.1,21.5,25.0,5.9
2024-01-15,Paris,France,212.0,36.4,225.5,49.3,37.6,4.66,122.7,7.8,51.0,5.2
2024-01-15,Cairo,Egypt,245.0,182.9,234.6,84.2,7.2,9.16,52.4,-0.6,65.0,14.9
2024-01-15,Beijing,China,127.0,43.4,132.4,8.8,10.7,2.31,87.8,24.2,12.0,9.7
2024-01-15,London,UK,84.0,122.5,62.1,48.2,21.6,8.91,67.3,-6.1,58.0,12.5
2024-01-15,Los Angeles,USA,157.0,160.1,166.5,18.9,40.7,2.97,122.1,37.4,86.0,9.3
2024-01-15,New York,USA,184.0,209.8,115.1,32.0,30.9,6.82,110.5,36.0,88.0,1.4
2024-01-15,Delhi,India,276.0,132.9,174.4,37.9,12.5,0.73,167.5,6.6,28.0,5.4
2024-01-16,Cairo,Egypt,151.0,113.5,109.7,40.8,12.5,1.85,143.5,14.5,36.0,14.8
2024-01-16,São Paulo,Brazil,100.0,104.8,218.5,5.6,12.9,8.34,195.5,39.3,76.0,8.5
2024-01-16,Sydney,Australia,160.0,136.1,195.6,99.2,10.8,2.42,86.8,30.1,84.0,1.1
2024-01-16,Tokyo,Japan,160.0,211.6,133.1,45.0,16.4,8.74,185.9,1.0,25.0,4.9
2024-01-16,Paris,France,41.0,75.4,158.0,48.7,12.9,8.63,43.0,-4.4,33.0,5.4
2024-01-16,Delhi,India,269.0,135.5,218.9,83.2,11.1,9.19,40.1,-7.4,83.0,2.4
2024-01-16,London,UK,213.0,144.1,260.4,65.5,35.1,2.5,29.9,-5.3,66.0,13.7
2024-01-16,Los Angeles,USA,38.0,160.3,144.6,56.1,19.6,6.82,62.1,14.1,31.0,5.4
2024-01-16,New York,USA,284.0,64.8,136.7,26.8,15.7,6.59,165.0,38.0,21.0,14.9
2024-01-16,Beijing,China,227.0,202.5,182.8,23.6,40.8,8.59,119.9,30.9,81.0,13.4
2024-01-17,Tokyo,Japan,35.0,107.3,286.0,9.9,5.2,1.78,142.8,36.2,23.0,14.1
2024-01-17,São Paulo,Brazil,143.0,219.7,142.9,73.0,10.8,1.65,36.3,9.1,45.0,4.6
2024-01-17,Sydney,Australia,62.0,220.3,294.9,51.7,2.7,1.54,64.6,22.9,34.0,9.5
2024-01-17,Paris,France,289.0,204.8,267.5,67.9,2.4,7.93,135.1,7.9,11.0,8.0
2024-01-17,Cairo,Egypt,117.0,19.9,126.9,24.3,38.2,3.71,40.5,12.3,63.0,4.5
2024-01-17,Beijing,China,111.0,201.0,25.6,65.3,25.3,0.54,196.6,-7.2,90.0,3.5
2024-01-17,New York,USA,146.0,152.0,61.4,95.6,26.9,5.9,126.3,-8.9,70.0,0.8
2024-01-17,Delhi,India,139.0,137.4,118.0,91.4,49.8,1.69,69.1,32.6,61.0,0.7
2024-01-17,London,UK,101.0,95.8,66.0,8.0,24.6,4.01,147.9,18.1,42.0,3.1
2024-01-17,Los Angeles,USA,145.0,20.6,138.0,49.6,28.8,8.44,10.6,38.1,10.0,14.0
2024-01-18,São Paulo,Brazil,186.0,36.9,91.9,60.7,49.0,6.81,60.5,19.9,61.0,3.4
2024-01-18,Sydney,Australia,258.0,116.8,185.2,58.9,16.1,1.22,88.5,10.3,25.0,9.7
2024-01-18,Tokyo,Japan,205.0,72.8,208.9,41.3,38.3,6.47,71.0,10.9,22.0,12.2
2024-01-18,Paris,France,184.0,234.1,229.6,28.1,13.0,6.83,168.8,38.0,78.0,13.5
2024-01-18,Cairo,Egypt,193.0,54.8,257.0,91.6,38.3,5.95,118.2,0.6,90.0,1.1
2024-01-18,Beijing,China,181.0,222.1,30.9,71.1,37.3,2.98,191.0,32.0,46.0,3.2
2024-01-18,London,UK,201.0,49.1,290.9,76.5,41.2,1.32,193.0,-9.4,43.0,3.1
2024-01-18,Los Angeles,USA,117.0,156.2,41.2,38.4,16.7,5.55,71.9,20.9,63.0,5.2
2024-01-18,New York,USA,221.0,185.7,288.6,41.6,6.9,6.66,44.8,4.2,87.0,2.2
2024-01-18,Delhi,India,282.0,132.2,239.4,23.7,45.0,9.89,109.0,4.0,61.0,2.9
2024-01-19,Cairo,Egypt,182.0,127.9,272.5,63.8,4.3,9.76,34.4,12.3,21.0,2.9
2024-01-19,São Paulo,Brazil,151.0,96.6,160.0,55.7,22.6,4.01,13.7,13.5,25.0,7.7
2024-01-19,Sydney,Australia,157.0,75.7,290.9,8.5,12.1,3.34,96.5,10.4,66.0,13.0
2024-01-19,Tokyo,Japan,278.0,67.8,212.9,40.4,41.4,3.6,105.1,-7.0,25.0,6.3
2024-01-19,Paris,France,32.0,67.1,279.9,79.2,23.5,6.28,21.8,5.9,28.0,7.9
2024-01-19,Delhi,India,158.0,218.5,124.2,85.9,36.3,2.31,87.5,38.4,23.0,9.1
2024-01-19,London,UK,147.0,220.7,206.5,19.5,21.3,8.15,48.3,10.4,27.0,10.6
2024-01-19,New York,USA,217.0,31.2,198.7,16.3,13.3,3.57,86.1,33.6,24.0,11.8
2024-01-19,Beijing,China,149.0,243.8,269.9,27.8,5.8,5.26,100.3,-6.9,86.0,5.8
2024-01-19,Los Angeles,USA,75.0,62.7,121.0,46.7,46.3,2.38,41.3,-9.2,90.0,12.2
2024-01-20,Cairo,Egypt,38.0,142.8,73.0,89.7,3.1,0.57,74.8,24.0,17.0,4.6
2024-01-20,Paris,France,185.0,42.4,233.1,98.0,4.2,4.26,48.8,11.8,17.0,11.0
2024-01-20,São Paulo,Brazil,117.0,178.2,21.7,9.0,36.5,7.89,186.3,20.7,72.0,2.7
2024-01-20,Sydney,Australia,129.0,46.7,147.3,99.9,23.0,4.98,81.2,20.0,78.0,14.1
2024-01-20,Tokyo,Japan,291.0,171.5,80.7,41.7,12.5,7.6,128.7,-0.9,83.0,1.9
2024-01-20,Delhi,India,263.0,132.1,141.2,93.7,8.8,9.83,152.3,7.1,48.0,12.2
2024-01-20,London,UK,291.0,200.9,250.3,74.1,14.0,8.36,147.3,29.5,66.0,13.5
2024-01-20,Los Angeles,USA,65.0,177.4,31.9,69.2,5.7,9.29,19.4,9.4,55.0,2.0
2024-01-20,New York,USA,50.0,100.5,95.5,86.2,12.7,7.51,71.7,-3.9,59.0,14.3
2024-01-20,Beijing,China,138.0,167.7,294.0,57.0,18.3,9.0,161.5,35.9,60.0,7.3
2024-01-21,São Paulo,Brazil,159.0,97.8,21.6,59.6,24.5,7.19,178.8,-7.7,15.0,1.3
2024-01-21,Sydney,Australia,48.0,196.3,98.8,21.9,45.1,2.22,122.7,17.3,65.0,2.3
2024-01-21,Tokyo,Japan,203.0,113.0,166.8,43.1,48.9,9.8,53.4,33.4,52.0,4.8
2024-01-21,Paris,France,124.0,67.9,247.9,72.3,26.6,6.55,184.7,-3.0,57.0,12.4
2024-01-21,Cairo,Egypt,33.0,212.0,267.1,71.6,15.1,4.64,107.2,38.2,90.0,13.6
2024-01-21,Beijing,China,174.0,38.3,140.2,66.0,47.8,4.26,189.0,34.3,85.0,6.0
2024-01-21,London,UK,204.0,55.9,277.9,34.4,33.1,9.08,132.5,5.0,23.0,12.3
2024-01-21,Los Angeles,USA,134.0,128.7,37.3,66.6,16.5,2.88,133.7,37.0,27.0,11.1
2024-01-21,New York,USA,202.0,102.5,146.0,99.1,44.9,7.53,192.8,29.6,38.0,13.0
2024-01-21,Delhi,India,157.0,107.2,283.9,17.0,43.5,2.85,190.6,34.7,20.0,11.8
2024-01-22,Cairo,Egypt,68.0,224.5,127.8,16.5,39.4,1.74,186.6,9.7,89.0,4.8
2024-01-22,São Paulo,Brazil,122.0,123.8,170.3,81.7,36.4,2.75,183.7,-3.9,75.0,12.9
2024-01-22,Sydney,Australia,174.0,8.4,284.7,77.0,48.5,5.95,19.1,17.1,11.0,10.0
2024-01-22,Tokyo,Japan,43.0,46.1,183.8,39.0,48.4,2.91,40.0,5.7,32.0,3.2
2024-01-22,Paris,France,192.0,216.6,264.9,51.2,18.6,7.93,197.1,14.3,80.0,12.2
2024-01-22,Delhi,India,135.0,87.5,231.1,87.7,7.4,3.91,66.7,19.4,16.0,7.4
2024-01-22,London,UK,183.0,159.6,99.5,15.2,4.9,2.17,89.2,15.4,60.0,4.6
2024-01-22,Los Angeles,USA,192.0,171.4,58.7,39.5,27.5,4.3,58.5,16.0,72.0,1.8
2024-01-22,New York,USA,100.0,15.0,89.5,79.4,12.0,8.55,32.9,7.5,35.0,7.0
2024-01-22,Beijing,China,173.0,174.3,126.6,52.3,17.9,7.17,103.6,-7.7,35.0,13.0
2024-01-23,Sydney,Australia,30.0,94.3,51.2,16.2,40.9,6.42,64.8,14.0,55.0,6.4
2024-01-23,Cairo,Egypt,246.0,72.6,63.1,25.1,19.1,2.52,114.8,10.0,31.0,9.7
2024-01-23,São Paulo,Brazil,176.0,37.3,176.9,94.9,40.4,5.73,29.2,34.0,79.0,3.2
2024-01-23,Paris,France,288.0,146.1,57.7,85.4,36.7,5.86,152.8,23.2,84.0,1.2
2024-01-23,Tokyo,Japan,274.0,237.0,171.6,53.2,25.1,4.35,71.8,-1.7,69.0,13.8
2024-01-23,Beijing,China,39.0,18.9,150.3,20.1,37.0,1.57,58.7,1.6,66.0,13.1
2024-01-23,Delhi,India,260.0,128.2,274.7,65.4,3.6,2.45,38.5,39.2,90.0,12.0
2024-01-23,London,UK,159.0,24.1,108.2,33.4,37.3,4.9,64.0,-4.5,65.0,7.7
2024-01-23,Los Angeles,USA,266.0,207.2,231.1,30.1,25.9,1.65,170.5,27.3,17.0,0.8
2024-01-23,New York,USA,76.0,103.6,108.3,5.1,19.7,2.9,197.6,1.9,26.0,12.5
2024-01-24,Cairo,Egypt,71.0,9.1,15.2,65.7,40.5,5.06,26.2,33.8,22.0,5.3
2024-01-24,São Paulo,Brazil,252.0,122.2,214.8,73.6,47.5,6.23,56.2,-6.3,21.0,9.9
2024-01-24,Sydney,Australia,78.0,240.1,12.0,67.4,4.4,4.81,170.9,28.1,89.0,11.6
2024-01-24,Tokyo,Japan,181.0,85.2,238.0,39.5,18.7,0.86,50.8,-5.6,33.0,12.7
2024-01-24,Paris,France,85.0,196.7,286.7,46.9,22.5,8.88,59.6,-9.7,35.0,2.2
2024-01-24,Delhi,India,239.0,123.2,38.0,10.3,45.7,6.26,124.4,34.2,68.0,8.3
2024-01-24,Beijing,China,281.0,18.2,183.3,63.6,35.9,5.76,20.4,-0.8,64.0,4.6
2024-01-24,London,UK,256.0,130.5,186.5,11.1,11.8,7.29,107.2,0.7,86.0,13.3
2024-01-24,Los Angeles,USA,200.0,57.4,156.9,28.2,3.8,4.26,147.5,19.2,29.0,11.3
2024-01-24,New York,USA,35.0,157.1,240.5,51.3,37.4,6.81,126.9,3.8,79.0,14.0
2024-01-25,São Paulo,Brazil,138.0,30.9,256.1,85.5,31.6,2.62,159.6,24.5,64.0,1.4
2024-01-25,Sydney,Australia,227.0,240.6,152.6,77.7,40.9,6.53,77.5,-2.8,83.0,13.3
2024-01-25,Tokyo,Japan,129.0,182.4,129.1,58.8,5.4,4.43,176.7,-0.9,61.0,7.9
2024-01-25,Paris,France,193.0,119.7,15.5,22.9,11.0,9.66,178.4,35.5,29.0,8.8
2024-01-25,Cairo,Egypt,264.0,163.0,207.7,11.1,19.6,0.41,138.0,26.7,51.0,7.0
2024-01-25,Beijing,China,253.0,244.6,156.7,98.2,49.3,3.46,148.0,29.7,16.0,13.9
2024-01-25,London,UK,95.0,160.3,194.1,5.3,21.3,3.11,165.3,36.2,44.0,12.0
2024-01-25,Los Angeles,USA,299.0,73.3,68.3,94.9,36.8,5.9,134.7,27.7,65.0,6.6
2024-01-25,New York,USA,110.0,205.7,18.4,36.1,47.6,7.48,41.8,-3.4,82.0,11.6
